"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "TypeScript JSX", "PostCSS", "YAML", "XML", "comment", "blank", "total"
"c:\Bytecore\Clientes\Carlos Rojas\RIA\.eslintrc.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Bytecore\Clientes\Carlos Rojas\RIA\AUTHENTICATION_FIXES.md", "Markdown", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 40, 177
"c:\Bytecore\Clientes\Carlos Rojas\RIA\DELTA_RENDERING_IMPROVEMENT.md", "Markdown", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 25, 106
"c:\Bytecore\Clientes\Carlos Rojas\RIA\METRICS_BACKEND_SYNC_REFACTOR.md", "Markdown", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 30, 150
"c:\Bytecore\Clientes\Carlos Rojas\RIA\METRICS_IMPROVEMENTS.md", "Markdown", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 37, 164
"c:\Bytecore\Clientes\Carlos Rojas\RIA\SECURITY_VERIFICATION.md", "Markdown", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 21, 98
"c:\Bytecore\Clientes\Carlos Rojas\RIA\SESSION_HISTORY_FIXES.md", "Markdown", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 48, 186
"c:\Bytecore\Clientes\Carlos Rojas\RIA\SESSION_TITLE_FIX_SUMMARY.md", "Markdown", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 34, 142
"c:\Bytecore\Clientes\Carlos Rojas\RIA\WINDOW_POSITIONING_SYSTEM.md", "Markdown", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 28, 178
"c:\Bytecore\Clientes\Carlos Rojas\RIA\WINDOW_SIZING_DEBUG.md", "Markdown", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 41, 173
"c:\Bytecore\Clientes\Carlos Rojas\RIA\WINDOW_SIZING_FIX_SOLUTION.md", "Markdown", 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 43, 201
"c:\Bytecore\Clientes\Carlos Rojas\RIA\app\auth\forgot-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 0, 1, 12, 117
"c:\Bytecore\Clientes\Carlos Rojas\RIA\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 12, 133
"c:\Bytecore\Clientes\Carlos Rojas\RIA\app\auth\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 11, 159
"c:\Bytecore\Clientes\Carlos Rojas\RIA\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 21, 77
"c:\Bytecore\Clientes\Carlos Rojas\RIA\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"c:\Bytecore\Clientes\Carlos Rojas\RIA\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"c:\Bytecore\Clientes\Carlos Rojas\RIA\app\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 371, 0, 0, 0, 0, 23, 394
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\auth-guard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 6, 14, 71
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\charts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 113, 0, 0, 0, 3, 18, 134
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 380, 0, 0, 0, 4, 27, 411
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\data-loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 10, 52
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\idle-manager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 8, 18, 105
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\metrics-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 287, 0, 0, 0, 12, 25, 324
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\recent-sessions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 14, 211
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 628, 0, 0, 0, 10, 41, 679
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\stats-history.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 457, 0, 0, 0, 8, 30, 495
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 9, 59
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 15, 142
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 7, 45
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 7, 51
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 6, 37
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 11, 116
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 6, 57
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 6, 67
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 9, 80
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 31, 263
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 327, 0, 0, 0, 2, 37, 366
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 6, 21
"c:\Bytecore\Clientes\Carlos Rojas\RIA\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 18, 154
